Institution,order,metrics,id_downloaded,link,type,name,uri,countryCode,region,sector,id,country,book_downloaded_2012,book_downloaded_2013,book_downloaded_2014,book_downloaded_2015,book_downloaded_2016,patent_downloaded_2012,patent_downloaded_2013,patent_downloaded_2014,patent_downloaded_2015,patent_downloaded_2016
University of Toronto,8,1.0,1.0,https://api.elsevier.com/metrics/institution/501048,application/json,University of Toronto,Institution/501048,can,NAM,academic,501048.0,Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Johns Hopkins University,9,1.0,1.0,https://api.elsevier.com/metrics/institution/508094,application/json,Johns Hopkins University,Institution/508094,usa,NAM,academic,508094.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Chicago,10,1.0,1.0,https://api.elsevier.com/metrics/institution/508270,application/json,University of Chicago,Institution/508270,usa,NAM,academic,508270.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yale University,11,1.0,1.0,https://api.elsevier.com/metrics/institution/508383,application/json,Yale University,Institution/508383,usa,NAM,academic,508383.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Pennsylvania,12,1.0,1.0,https://api.elsevier.com/metrics/institution/508331,application/json,University of Pennsylvania,Institution/508331,usa,NAM,academic,508331.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Washington,13,1.0,1.0,https://api.elsevier.com/metrics/institution/508358,application/json,University of Washington,Institution/508358,usa,NAM,academic,508358.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cornell University,14,1.0,1.0,https://api.elsevier.com/metrics/institution/508047,application/json,Cornell University,Institution/508047,usa,NAM,academic,508047.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University College London,15,1.0,1.0,https://api.elsevier.com/metrics/institution/315061,application/json,University College London,Institution/315061,gbr,EUR,academic,315061.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of Michigan,15,1.0,1.0,https://api.elsevier.com/metrics/institution/508303,application/json,University of Michigan,Institution/508303,usa,NAM,academic,508303.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of California at San Diego,16,1.0,1.0,https://api.elsevier.com/metrics/institution/508264,application/json,University of California at San Diego,Institution/508264,usa,NAM,academic,508264.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ecole Polytechnique Federale de Lausanne (EPFL),16,-1.0,1.0,https://api.elsevier.com/metrics/institution/306002,application/json,Ecole Polytechnique Federale de Lausanne (EPFL),Institution/306002,che,EUR,academic,306002.0,Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of California at Los Angeles,17,1.0,1.0,https://api.elsevier.com/metrics/institution/508262,application/json,University of California at Los Angeles,Institution/508262,usa,NAM,academic,508262.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of California at San Francisco,17,1.0,1.0,https://api.elsevier.com/metrics/institution/508265,application/json,University of California at San Francisco,Institution/508265,usa,NAM,academic,508265.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Exeter,18,-1.0,1.0,https://api.elsevier.com/metrics/institution/315076,application/json,University of Exeter,Institution/315076,gbr,EUR,academic,315076.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Imperial College London,18,1.0,1.0,https://api.elsevier.com/metrics/institution/315018,application/json,Imperial College London,Institution/315018,gbr,EUR,academic,315018.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Kansas,19,-1.0,1.0,https://api.elsevier.com/metrics/institution/508287,application/json,University of Kansas,Institution/508287,usa,NAM,academic,508287.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,,,,
California Institute of Technology,19,1.0,1.0,https://api.elsevier.com/metrics/institution/508021,application/json,California Institute of Technology,Institution/508021,usa,NAM,academic,508021.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Duke University,20,1.0,1.0,https://api.elsevier.com/metrics/institution/508053,application/json,Duke University,Institution/508053,usa,NAM,academic,508053.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Georgia State University,20,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Griffith University Queensland,21,-1.0,1.0,https://api.elsevier.com/metrics/institution/201011,application/json,Griffith University Queensland,Institution/201011,aus,APAC,academic,201011.0,Australia,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Universite Paris-Sud,21,1.0,1.0,https://api.elsevier.com/metrics/institution/314094,application/json,Universite Paris-Sud,Institution/314094,fra,EUR,academic,314094.0,France,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
City University of Hong Kong,22,-1.0,1.0,https://api.elsevier.com/metrics/institution/205002,application/json,City University of Hong Kong,Institution/205002,hkg,APAC,academic,205002.0,Hong Kong,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of Antwerp,23,-1.0,1.0,https://api.elsevier.com/metrics/institution/303011,application/json,University of Antwerp,Institution/303011,bel,EUR,academic,303011.0,Belgium,1.0,1.0,1.0,1.0,1.0,1.0,,,,
ETH Zurich,23,1.0,1.0,https://api.elsevier.com/metrics/institution/306003,application/json,ETH Zurich,Institution/306003,che,EUR,academic,306003.0,Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hong Kong Polytechnic University,24,-1.0,1.0,https://api.elsevier.com/metrics/institution/205004,application/json,Hong Kong Polytechnic University,Institution/205004,hkg,APAC,academic,205004.0,Hong Kong,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of Texas at Austin,24,1.0,1.0,https://api.elsevier.com/metrics/institution/508345,application/json,University of Texas at Austin,Institution/508345,usa,NAM,academic,508345.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University College Dublin,25,-1.0,1.0,https://api.elsevier.com/metrics/institution/319008,application/json,University College Dublin,Institution/319008,irl,EUR,academic,319008.0,Ireland,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Northwestern University,25,1.0,1.0,https://api.elsevier.com/metrics/institution/508175,application/json,Northwestern University,Institution/508175,usa,NAM,academic,508175.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Canterbury,26,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of Tokyo,26,1.0,1.0,https://api.elsevier.com/metrics/institution/208180,application/json,University of Tokyo,Institution/208180,jpn,APAC,academic,208180.0,Japan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New York University,27,1.0,1.0,https://api.elsevier.com/metrics/institution/508166,application/json,New York University,Institution/508166,usa,NAM,academic,508166.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Boston College,27,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Universite Laval,28,-1.0,1.0,https://api.elsevier.com/metrics/institution/501034,application/json,Universite Laval,Institution/501034,can,NAM,academic,501034.0,Canada,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of Southern California,28,1.0,1.0,https://api.elsevier.com/metrics/institution/508341,application/json,University of Southern California,Institution/508341,usa,NAM,academic,508341.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jadavpur University,29,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
University of Illinois at Urbana-Champaign,29,1.0,1.0,https://api.elsevier.com/metrics/institution/508285,application/json,University of Illinois at Urbana-Champaign,Institution/508285,usa,NAM,academic,508285.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
McGill University,30,1.0,1.0,https://api.elsevier.com/metrics/institution/501016,application/json,McGill University,Institution/501016,can,NAM,academic,501016.0,Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Moscow State University,30,-1.0,1.0,https://api.elsevier.com/metrics/institution/331011,application/json,Moscow State University,Institution/331011,rus,EUR,academic,331011.0,Russian Federation,1.0,1.0,1.0,1.0,1.0,,,,,
University of Cyprus,31,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Manchester,31,1.0,1.0,https://api.elsevier.com/metrics/institution/315088,application/json,University of Manchester,Institution/315088,gbr,EUR,academic,315088.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of British Columbia,32,1.0,1.0,https://api.elsevier.com/metrics/institution/501036,application/json,University of British Columbia,Institution/501036,can,NAM,academic,501036.0,Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clemson University,32,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of North Carolina,33,1.0,1.0,https://api.elsevier.com/metrics/institution/508320,application/json,University of North Carolina,Institution/508320,usa,NAM,academic,508320.0,United States,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
Kent State University,33,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Edinburgh,34,1.0,1.0,https://api.elsevier.com/metrics/institution/315074,application/json,University of Edinburgh,Institution/315074,gbr,EUR,academic,315074.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Malaya,34,-1.0,1.0,https://api.elsevier.com/metrics/institution/211009,application/json,University of Malaya,Institution/211009,mys,APAC,academic,211009.0,Malaysia,1.0,1.0,1.0,1.0,1.0,,,,,
Saint Louis University,35,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Wisconsin,35,1.0,1.0,https://api.elsevier.com/metrics/institution/508359,application/json,University of Wisconsin,Institution/508359,usa,NAM,academic,508359.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Minnesota,36,1.0,1.0,https://api.elsevier.com/metrics/institution/508305,application/json,University of Minnesota,Institution/508305,usa,NAM,academic,508305.0,United States,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
Beihang University,36,-1.0,1.0,https://api.elsevier.com/metrics/institution/203008,application/json,Beihang University,Institution/203008,chn,APAC,academic,203008.0,China,1.0,1.0,1.0,1.0,1.0,,,,,
Justus-Liebig-University,37,-1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Copenhagen,37,1.0,1.0,https://api.elsevier.com/metrics/institution/310011,application/json,University of Copenhagen,Institution/310011,dnk,EUR,academic,310011.0,Denmark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Tartu,38,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Utrecht University,38,1.0,1.0,https://api.elsevier.com/metrics/institution/325015,application/json,Utrecht University,Institution/325015,nld,EUR,academic,325015.0,Netherlands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Regina,39,-1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Colorado Boulder,39,1.0,1.0,https://api.elsevier.com/metrics/institution/508272,application/json,University of Colorado Boulder,Institution/508272,usa,NAM,academic,508272.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Pittsburgh,40,1.0,1.0,https://api.elsevier.com/metrics/institution/508332,application/json,University of Pittsburgh,Institution/508332,usa,NAM,academic,508332.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Texas at San Antonio,40,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Kyoto University,41,1.0,1.0,https://api.elsevier.com/metrics/institution/208081,application/json,Kyoto University,Institution/208081,jpn,APAC,academic,208081.0,Japan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
Hacettepe University,41,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Vanderbilt University,42,1.0,1.0,https://api.elsevier.com/metrics/institution/508363,application/json,Vanderbilt University,Institution/508363,usa,NAM,academic,508363.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Petersburg State University,42,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Washington University St. Louis,43,1.0,1.0,https://api.elsevier.com/metrics/institution/508370,application/json,Washington University St. Louis,Institution/508370,usa,NAM,academic,508370.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Texas at Arlington,43,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Warsaw University of Technology,44,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Technische Universitat Munchen,44,1.0,1.0,https://api.elsevier.com/metrics/institution/309054,application/json,Technische Universitat Munchen,Institution/309054,deu,EUR,academic,309054.0,Germany,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kanazawa University,45,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Karolinska Institutet,45,1.0,1.0,https://api.elsevier.com/metrics/institution/332004,application/json,Karolinska Institutet,Institution/332004,swe,EUR,academic,332004.0,Sweden,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
King Saud University,46,-1.0,1.0,https://api.elsevier.com/metrics/institution/409005,application/json,King Saud University,Institution/409005,sau,MEA,academic,409005.0,Saudi Arabia,1.0,1.0,1.0,1.0,1.0,,,,,
King's College London,46,1.0,1.0,https://api.elsevier.com/metrics/institution/315026,application/json,King's College London,Institution/315026,gbr,EUR,academic,315026.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Masaryk University,47,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
The Ohio State University,47,1.0,1.0,https://api.elsevier.com/metrics/institution/508179,application/json,The Ohio State University,Institution/508179,usa,NAM,academic,508179.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Universiti Teknologi Petronas,48,-1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Tsinghua University,48,1.0,1.0,https://api.elsevier.com/metrics/institution/203209,application/json,Tsinghua University,Institution/203209,chn,APAC,academic,203209.0,China,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of California at Santa Barbara,49,1.0,1.0,https://api.elsevier.com/metrics/institution/508266,application/json,University of California at Santa Barbara,Institution/508266,usa,NAM,academic,508266.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ain Shams University,49,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Okayama University,50,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Geneva,50,1.0,1.0,https://api.elsevier.com/metrics/institution/306014,application/json,University of Geneva,Institution/306014,che,EUR,academic,306014.0,Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shenzhen University,51,-1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of California at Irvine,51,1.0,1.0,https://api.elsevier.com/metrics/institution/508261,application/json,University of California at Irvine,Institution/508261,usa,NAM,academic,508261.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Groningen,52,1.0,1.0,https://api.elsevier.com/metrics/institution/325013,application/json,University of Groningen,Institution/325013,nld,EUR,academic,325013.0,Netherlands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tokyo University of Agriculture and Technology,52,-1.0,1.0,https://api.elsevier.com/metrics/institution/208161,application/json,Tokyo University of Agriculture and Technology,Institution/208161,jpn,APAC,academic,208161.0,Japan,1.0,1.0,1.0,1.0,1.0,,,,,
Universidad de Castilla-La Mancha,53,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Technion-Israel Institute of Technology,53,1.0,1.0,https://api.elsevier.com/metrics/institution/403005,application/json,Technion-Israel Institute of Technology,Institution/403005,isr,MEA,academic,403005.0,Israel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Melbourne,54,1.0,1.0,https://api.elsevier.com/metrics/institution/201025,application/json,University of Melbourne,Institution/201025,aus,APAC,academic,201025.0,Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Lubeck,54,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Aarhus University,55,1.0,1.0,https://api.elsevier.com/metrics/institution/310010,application/json,Aarhus University,Institution/310010,dnk,EUR,academic,310010.0,Denmark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AgroParisTech,55,-1.0,1.0,https://api.elsevier.com/metrics/institution/314099,application/json,AgroParisTech,Institution/314099,fra,EUR,academic,314099.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
Carnegie Mellon University,56,1.0,1.0,https://api.elsevier.com/metrics/institution/508031,application/json,Carnegie Mellon University,Institution/508031,usa,NAM,academic,508031.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Curtin University of Technology,56,-1.0,1.0,https://api.elsevier.com/metrics/institution/201006,application/json,Curtin University of Technology,Institution/201006,aus,APAC,academic,201006.0,Australia,1.0,1.0,1.0,1.0,1.0,,,,,
Hadassah University Medical Centre,57,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Purdue University,57,1.0,1.0,https://api.elsevier.com/metrics/institution/508192,application/json,Purdue University,Institution/508192,usa,NAM,academic,508192.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Zurich,58,1.0,1.0,https://api.elsevier.com/metrics/institution/306016,application/json,University of Zurich,Institution/306016,che,EUR,academic,306016.0,Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
Jiangsu University,59,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Ludwig-Maximilians-University Munchen,59,1.0,1.0,https://api.elsevier.com/metrics/institution/309086,application/json,Ludwig-Maximilians-University Munchen,Institution/309086,deu,EUR,academic,309086.0,Germany,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Johannes Kepler University of Linz,60,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Rockefeller University,60,1.0,1.0,https://api.elsevier.com/metrics/institution/508196,application/json,Rockefeller University,Institution/508196,usa,NAM,academic,508196.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hebrew University of Jerusalem,61,1.0,1.0,https://api.elsevier.com/metrics/institution/403004,application/json,Hebrew University of Jerusalem,Institution/403004,isr,MEA,academic,403004.0,Israel,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
Kangwon National University,61,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Oslo,62,1.0,1.0,https://api.elsevier.com/metrics/institution/326007,application/json,University of Oslo,Institution/326007,nor,EUR,academic,326007.0,Norway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
Shanghai Jiao Tong University,63,1.0,1.0,https://api.elsevier.com/metrics/institution/203168,application/json,Shanghai Jiao Tong University,Institution/203168,chn,APAC,academic,203168.0,China,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Universita Politecnica delle Marche,63,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Universita del Piemonte Orientale,64,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Maryland,64,1.0,1.0,https://api.elsevier.com/metrics/institution/508292,application/json,University of Maryland,Institution/508292,usa,NAM,academic,508292.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Western Australia,65,1.0,1.0,https://api.elsevier.com/metrics/institution/201035,application/json,University of Western Australia,Institution/201035,aus,APAC,academic,201035.0,Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Universite de Nice-Sophia Antipolis,65,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Universite de Strasbourg,66,-1.0,1.0,https://api.elsevier.com/metrics/institution/314083,application/json,Universite de Strasbourg,Institution/314083,fra,EUR,academic,314083.0,France,1.0,1.0,1.0,1.0,1.0,,,,,
National University of Singapore,66,1.0,1.0,https://api.elsevier.com/metrics/institution/215004,application/json,National University of Singapore,Institution/215004,sgp,APAC,academic,215004.0,Singapore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zhejiang University,67,1.0,1.0,https://api.elsevier.com/metrics/institution/203243,application/json,Zhejiang University,Institution/203243,chn,APAC,academic,203243.0,China,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University Medical Center Hamburg-Eppendorf,67,-1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Wroclaw Medical University,68,-1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Peking University,68,1.0,1.0,https://api.elsevier.com/metrics/institution/203152,application/json,Peking University,Institution/203152,chn,APAC,academic,203152.0,China,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nanyang Polytechnic,69,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
University of Sydney,69,1.0,1.0,https://api.elsevier.com/metrics/institution/201032,application/json,University of Sydney,Institution/201032,aus,APAC,academic,201032.0,Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Far East University,70,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
University of Nottingham,70,1.0,1.0,https://api.elsevier.com/metrics/institution/315090,application/json,University of Nottingham,Institution/315090,gbr,EUR,academic,315090.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Universidad Militar Nueva Granada,71,,,,,,,,,,,,,,1.0,1.0,,,,,,
"Rutgers - The State University of New Jersey, New Brunswick",71,1.0,1.0,https://api.elsevier.com/metrics/institution/508201,application/json,"Rutgers - The State University of New Jersey, New Brunswick",Institution/508201,usa,NAM,academic,508201.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Universidad Pontificia Bolivariana,72,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
University of Heidelberg,72,1.0,1.0,https://api.elsevier.com/metrics/institution/309076,application/json,University of Heidelberg,Institution/309076,deu,EUR,academic,309076.0,Germany,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of the Ryukyus,73,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Queensland,73,1.0,1.0,https://api.elsevier.com/metrics/institution/201029,application/json,University of Queensland,Institution/201029,aus,APAC,academic,201029.0,Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nelson Mandela Metropolitan University,74,-1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
University of Utah,74,1.0,1.0,https://api.elsevier.com/metrics/institution/508355,application/json,University of Utah,Institution/508355,usa,NAM,academic,508355.0,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
University of Alaska Anchorage,75,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
KU Leuven,75,1.0,1.0,https://api.elsevier.com/metrics/institution/303008,application/json,KU Leuven,Institution/303008,bel,EUR,academic,303008.0,Belgium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nanyang Technological University,76,1.0,1.0,https://api.elsevier.com/metrics/institution/215003,application/json,Nanyang Technological University,Institution/215003,sgp,APAC,academic,215003.0,Singapore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
China University of Petroleum (East China),76,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Fukushima University,77,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
University of Warwick,77,1.0,1.0,https://api.elsevier.com/metrics/institution/315110,application/json,University of Warwick,Institution/315110,gbr,EUR,academic,315110.0,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hanbat National University,78,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Chinese University of Hong Kong,78,1.0,1.0,https://api.elsevier.com/metrics/institution/205001,application/json,Chinese University of Hong Kong,Institution/205001,hkg,APAC,academic,205001.0,Hong Kong,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hefei University,79,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
McMaster University,79,1.0,1.0,https://api.elsevier.com/metrics/institution/501017,application/json,McMaster University,Institution/501017,can,NAM,academic,501017.0,Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
