year,collabType,id,link,metricType,name,percentageByYear,threshold,type,uri,valueByYear
2013,National collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,15.923541
2014,National collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,11.076385
2015,National collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,8.202429
2016,National collaboration,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,3.9776223
2012,Single authorship,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,9.704468
2013,Single authorship,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,3.4403973
2014,Single authorship,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,2.861386
2015,Single authorship,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,1.744186
2016,Single authorship,203152,https://api.elsevier.com/metrics/CollaborationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CollaborationImpact,Peking University,,,application/json,Institution/203152,1.09699
2012,,203152,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Peking University,,,application/json,Institution/203152,1.3177545
2013,,203152,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Peking University,,,application/json,Institution/203152,1.4826416
2014,,203152,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Peking University,,,application/json,Institution/203152,1.3628211
2015,,203152,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Peking University,,,application/json,Institution/203152,1.4199439
2016,,203152,https://api.elsevier.com/metrics/FieldWeightedCitationImpact/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,FieldWeightedCitationImpact,Peking University,,,application/json,Institution/203152,1.501292
2012,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,2.3608944,1.0,application/json,Institution/203152,227.0
2013,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,3.1351452,1.0,application/json,Institution/203152,338.0
2014,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,2.8603237,1.0,application/json,Institution/203152,334.0
2015,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,3.1908638,1.0,application/json,Institution/203152,380.0
2016,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,3.8359041,1.0,application/json,Institution/203152,475.0
2012,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,10.75403,5.0,application/json,Institution/203152,1034.0
2013,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,12.086077,5.0,application/json,Institution/203152,1303.0
2014,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,11.629699,5.0,application/json,Institution/203152,1358.0
2015,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,12.729868,5.0,application/json,Institution/203152,1516.0
2016,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,13.970767,5.0,application/json,Institution/203152,1730.0
2012,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,19.334373,10.0,application/json,Institution/203152,1859.0
2013,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,20.211483,10.0,application/json,Institution/203152,2179.0
2014,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,20.793013,10.0,application/json,Institution/203152,2428.0
2015,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,22.545975,10.0,application/json,Institution/203152,2685.0
2016,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,24.121778,10.0,application/json,Institution/203152,2987.0
2012,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,40.384815,25.0,application/json,Institution/203152,3883.0
2013,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,43.59521,25.0,application/json,Institution/203152,4700.0
2014,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,39.57352,25.0,application/json,Institution/203152,4621.0
2015,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,41.632378,25.0,application/json,Institution/203152,4958.0
2016,,203152,https://api.elsevier.com/metrics/OutputsInTopCitationPercentiles/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,OutputsInTopCitationPercentiles,Peking University,48.582737,25.0,application/json,Institution/203152,6016.0
2012,Institutional collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,31.544462,,application/json,Institution/203152,3033.0
2013,Institutional collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,31.277248,,application/json,Institution/203152,3372.0
2014,Institutional collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,30.504412,,application/json,Institution/203152,3562.0
2015,Institutional collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,27.777311,,application/json,Institution/203152,3308.0
2016,Institutional collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,25.163532,,application/json,Institution/203152,3116.0
2012,International collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,28.829952,,application/json,Institution/203152,2772.0
2013,International collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,29.041832,,application/json,Institution/203152,3131.0
2014,International collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,29.00574,,application/json,Institution/203152,3387.0
2015,International collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,30.64909,,application/json,Institution/203152,3650.0
2016,International collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,32.003555,,application/json,Institution/203152,3963.0
2012,National collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,36.599064,,application/json,Institution/203152,3519.0
2013,National collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,36.879696,,application/json,Institution/203152,3976.0
2014,National collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,37.895004,,application/json,Institution/203152,4425.0
2015,National collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,39.40717,,application/json,Institution/203152,4693.0
2016,National collaboration,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,40.418316,,application/json,Institution/203152,5005.0
2012,Single authorship,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,3.026521,,application/json,Institution/203152,291.0
2013,Single authorship,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,2.8012245,,application/json,Institution/203152,302.0
2014,Single authorship,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,2.5948446,,application/json,Institution/203152,303.0
2015,Single authorship,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,2.1664288,,application/json,Institution/203152,258.0
2016,Single authorship,203152,https://api.elsevier.com/metrics/Collaboration/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,Collaboration,Peking University,2.4146008,,application/json,Institution/203152,299.0
2012,,203152,https://api.elsevier.com/metrics/CitedPublications/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CitedPublications,Peking University,82.03848,,application/json,Institution/203152,7888.0
2013,,203152,https://api.elsevier.com/metrics/CitedPublications/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CitedPublications,Peking University,81.1613,,application/json,Institution/203152,8750.0
2014,,203152,https://api.elsevier.com/metrics/CitedPublications/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CitedPublications,Peking University,78.19646,,application/json,Institution/203152,9131.0
2015,,203152,https://api.elsevier.com/metrics/CitedPublications/institution/203152?apiKey=e53785aedfc1c54942ba237f8ec0f891&httpAccept=application/json&institutions=203152&yearRange=5yrs&includeSelfCitations=true&byYear=true&includedDocs=AllPublicationTypes&journalImpactType=SNIP&showAsFieldWeighted=false&indexType=hIndex,CitedPublications,Peking University,77.15173,,application/json,Institution/203152,9188.0
